Date,Timestamp,Tags,File,Exception
2019-03-04,06:16:54.928094,ERROR,db_read.py:22,Fanning out RPC
2019-03-04,06:16:54.928526,DBG,task_generator.py:18,Combining logs from all nodes into single log file
2019-03-04,06:16:54.928672,DBG,db_read.py:14,Creating task
2019-03-04,06:16:54.929533,DBG,publisher.py:276,Gathering node data
2019-03-04,06:16:54.930726,INFO,publisher.py:261,Combining logs from all nodes into single log file
 - , - ,  File "./random_traceback.py", line 113, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 86, Traceback in get_attributes
 - , - ,  File "./random_traceback.py", line 59, Traceback in get_data
 - , - , BadRequestError , - , Request buffer too large
2019-03-04,06:16:54.931368,DBG,alert_manager.py:240,Gathering logs from all nodes
2019-03-04,06:16:54.931456,ERROR,ssh_tunnel.py:306,Creating task
2019-03-04,06:16:54.931737,ERROR,rpc_client.py:76,Fanning out RPC
2019-03-04,06:16:54.933395,INFO,http_handler.py:189,Node destroyed
2019-03-04,06:16:54.933725,DBG,db_write.py:189,Node destroyed
2019-03-04,06:16:54.933940,INFO,db_read.py:82,Creating task
2019-03-04,06:16:54.934324,INFO,http_handler.py:147,Node destroyed
2019-03-04,06:16:54.934884,ERROR,fanout.py:322,Node created
2019-03-04,06:16:54.935081,DBG,fanout.py:201,Node destroyed
2019-03-04,06:16:54.935507,DBG,db_write.py:76,Node destroyed
 - , - ,  File "./random_traceback.py", line 113, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 92, Traceback in get_attributes
 - , - , InvalidArgumentError , - , Provided too many arguments
 - , - ,  File "./random_traceback.py", line 103, Traceback in get_random_error_string
 - , - ,  File "./random_traceback.py", line 70, Traceback in extract_metadata
 - , - , ConflictError , - , Mismatched argumnets
2019-03-04,06:16:54.937232,ERROR,log_collector.py:226,Gathering logs from all nodes
2019-03-04,06:16:54.942193,ERROR,scheduler.py:110,Generated binary file
2019-03-04,06:16:54.943620,INFO,rpc_client.py:341,Generated binary file
2019-03-04,06:16:54.943733,DBG,scheduler.py:125,Node created
2019-03-04,06:16:54.943918,DBG,rpc_client.py:378,Creating task
